Name,Type,Color,Style1,Style2,Weather1,Weather2
NavyDownJacket,jacket,navy,casual,ath,spring,winter
motherGaveMe,layer2,gray,casual,ath,spring,winter
northfaceHoodie,layer2,navy,casual,ath,spring,-
cardigan,layer2,gray,casual,-,spring,-
schoolMascot,shirt,navy,ath,-,spring,winter
elmoShirt,shirt,white,ath,casual,spring,winter
volleyball,shirt,white,ath,casual,spring,winter
levijeans,pants,blue,casual,-,spring,winter
khakiSlacks,pants,khaki,bizcasual,-,winter,-
adidas,pants,black,ath,-,spring,winter
myFavorite,shoes,black,bizcasual,-,no rain,
sneakers,shoes,white,ath,casual,all,
